gender,city,state,current_job_title,current_job_category,current_employer,current_employer_industry, current_salary ,current_tenure
m,Dallas,Georgia,Analyst,Information Technology,iVision,Information Technology And Services,"$63,901.00 ",4
u,Tucker,Georgia,Analyst,Information Technology,Avanade,Information Technology And Services,"$67,600.00 ",2
u,Lilburn,Georgia,Analyst,Information Technology,EY,Accounting,"$58,618.00 ",3
u,Atlanta,Georgia,Analyst,Information Technology,US Navy,Military,"$58,800.00 ",7
u,Atlanta,Georgia,Analyst,Information Technology,Newell Brands,Consumer Goods,"$64,783.00 ",1
m,Atlanta,Georgia,Analyst,Information Technology,Cox Communications,Telecommunications,"$60,352.00 ",3
u,Duluth,Georgia,Analyst Sales,Sales,MDA,Information Technology And Services,"$50,235.00 ",4
m,Norcross,Georgia,Analytics Engineer,Engineering,GE,Mechanical Or Industrial Engineering,,1
u,Atlanta,Georgia,Applecare Advisor,Finance,Apple,Consumer Electronics,,5
m,McDonough,Georgia,Associate,Customer Service,Infosys,Information Technology And Services,"$43,757.00 ",4
m,Atlanta,Georgia,Associate,Customer Service,Revature,Information Technology And Services,"$45,767.00 ",3
f,Atlanta,Georgia,Associate - AI/ML,Customer Service,Revature,Information Technology And Services,,2
m,Atlanta,Georgia,Business Development Manager,Management,Ivbaze Tech Development,Computer Software,"$68,391.00 ",2
m,Atlanta,Georgia,Business Development Representative,Business,KMS Technology Vietnam,Computer Software,"$45,735.00 ",1
m,Atlanta,Georgia,Business Insight And Analytics Manager,Business,Georgia-Pacific LLC,Paper & Forest Products,"$84,708.00 ",7
f,Atlanta,Georgia,Business Intelligence Analyst,Business,Porsche Financial Services,Financial Services,"$60,711.00 ",2
f,Atlanta,Georgia,Business Intelligence Analyst,Business,Northside Hospital,Hospital & Health Care,"$62,096.00 ",2
u,Scottdale,Georgia,Business Intelligence Developer,Information Technology,LogicLoops,Information Technology And Services,"$95,113.00 ",1
f,Decatur,Georgia,Business Leadership Intern ,Management,GEICO,Insurance,"$15,000.00 ",3
m,Atlanta,Georgia,Business Systems Analyst,Business,Web Industries,Outsourcing/offshoring,"$73,883.00 ",17
f,Atlanta,Georgia,Client Service And Consulting Manager,Customer Service,athenahealth,Information Technology And Services,"$45,754.00 ",12
m,Grayson,Georgia,Client Services Administrator,Customer Service,Streamline Health,Computer Software,"$27,938.00 ",5
m,Atlanta,Georgia,Consultant,Business,Capgemini,Information Technology And Services,"$61,873.00 ",5
m,Duluth,Georgia,Consultant,Business,Slalom,Management Consulting,"$71,717.00 ",4
f,Fort Worth,Texas,Consultant,Business,Microsoft,Computer Software,"$60,323.00 ",5
m,Atlanta,Georgia,Continuous Improvement Manager,Management,Inspire Brands,Restaurants,"$83,158.00 ",2
u,Stone Mountain,Georgia,Customer Care Representative,Customer Service,CSM Bakery Solutions,Food Production,"$31,052.00 ",4
u,Lawrenceville,Georgia,Customer Relations Representative,Customer Service,Cox Enterprises,Telecommunications,"$28,840.00 ",4
m,Atlanta,Georgia,Customer Service Agent,Customer Service,Brandt Information Services,Information Technology And Services,"$30,236.00 ",13
u,Atlanta,Georgia,Customer Service Assistant,Customer Service,Walgreens,Retail,"$29,144.00 ",2
m,Conyers,Georgia,Customer Service Manager,Customer Service,Publix Super Markets,Retail,"$38,464.00 ",2
u,Augusta,Georgia,Customer Service Representative,Customer Service,CDK Global,Computer Software,"$20,508.00 ",2
m,Stockbridge,Georgia,Customer Service Representative,Customer Service,Cofely Mijoy,,"$29,706.00 ",
u,Atlanta,Georgia,Customer Service Representative,Customer Service,Amazon,Internet,"$30,685.00 ",5
f,Atlanta,Georgia,Customer Service Specialist,Customer Service,JOHN BEAN TECHNOLOGIES CORP,,"$35,916.00 ",2
f,Atlanta,Georgia,Customer Support Manager,Customer Service,Mailchimp,Internet,"$53,322.00 ",3
f,Atlanta,Georgia,Data Analyst,Information Technology,Capgemini,Information Technology And Services,"$54,481.00 ",1
f,Jonesboro,Georgia,Data Analyst,Information Technology,City of Atlanta,Government Administration,"$47,801.00 ",3
m,Charlotte,North Carolina,Data Analyst,Information Technology,Bank of America,Banking,"$65,627.00 ",2
f,Atlanta,Georgia,Data Analyst,Information Technology,Cardlytics,Marketing And Advertising,"$52,001.00 ",3
m,Atlanta,Georgia,Data Analyst,Information Technology,Force Marketing,Marketing And Advertising,"$54,481.00 ",4
f,Atlanta,Georgia,Data Analyst,Information Technology,EY,Accounting,"$53,244.00 ",2
